"ID"	"Act.text"	"Predict.text"	"Correct.Top.text"	"Correct.Level.text"	"Correct.in.5.text"	"Act.entity"	"Predict.entity"	"Correct.Top.entity"	"Correct.Level.entity"	"Correct.in.5.entity"
"1"	"ID:1008732"	"C.4 PERFORMANCE OF SYSTEMS"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	3	TRUE	"C.4 PERFORMANCE OF SYSTEMS"	"I.6 SIMULATION AND MODELING"	"False"	0	FALSE
"2"	"ID:1008733"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE
"3"	"ID:1008734"	"D.4 OPERATING SYSTEMS"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"False"	8	FALSE	"D.4 OPERATING SYSTEMS"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE
"4"	"ID:1008735"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE
"5"	"ID:1008736"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"D.3 PROGRAMMING LANGUAGES"	"False"	3	TRUE
"6"	"ID:1008737"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE
"7"	"ID:1008738"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.1 NUMERICAL ANALYSIS"	"False"	3	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.1 NUMERICAL ANALYSIS"	"False"	4	TRUE
"8"	"ID:1017461"	"G.2 DISCRETE MATHEMATICS"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"G.2 DISCRETE MATHEMATICS"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE
"9"	"ID:1017462"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"H.3 INFORMATION STORAGE AND RETRIEVAL"	"False"	7	FALSE	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"K.3 COMPUTERS AND EDUCATION"	"False"	2	TRUE
"10"	"ID:1017463"	"C.4 PERFORMANCE OF SYSTEMS"	"C.1 PROCESSOR ARCHITECTURES"	"False"	0	FALSE	"C.4 PERFORMANCE OF SYSTEMS"	"B.7 INTEGRATED CIRCUITS"	"False"	0	FALSE
"11"	"ID:1017464"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE
"12"	"ID:1039489"	"E.3 DATA ENCRYPTION"	"H.2 DATABASE MANAGEMENT"	"False"	7	FALSE	"E.3 DATA ENCRYPTION"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE
"13"	"ID:1039490"	"E.3 DATA ENCRYPTION"	"H.2 DATABASE MANAGEMENT"	"False"	8	FALSE	"E.3 DATA ENCRYPTION"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	2	TRUE
"14"	"ID:1039491"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"True"	1	TRUE	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"K.3 COMPUTERS AND EDUCATION"	"False"	3	TRUE
"15"	"ID:1039492"	"E.1 DATA STRUCTURES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"E.1 DATA STRUCTURES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE
"16"	"ID:1039493"	"E.1 DATA STRUCTURES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"E.1 DATA STRUCTURES"	"E.4 CODING AND INFORMATION THEORY"	"False"	0	FALSE
"17"	"ID:1039494"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.1 NUMERICAL ANALYSIS"	"False"	2	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.1 NUMERICAL ANALYSIS"	"False"	4	TRUE
"18"	"ID:1044732"	"E.1 DATA STRUCTURES"	"E.4 CODING AND INFORMATION THEORY"	"False"	6	FALSE	"E.1 DATA STRUCTURES"	"D.3 PROGRAMMING LANGUAGES"	"False"	0	FALSE
"19"	"ID:1044733"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"False"	0	FALSE
"20"	"ID:1044734"	"H.2 DATABASE MANAGEMENT"	"H.2 DATABASE MANAGEMENT"	"True"	1	TRUE	"H.2 DATABASE MANAGEMENT"	"G.1 NUMERICAL ANALYSIS"	"False"	2	TRUE
"21"	"ID:1044735"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"B.2 ARITHMETIC AND LOGIC STRUCTURES"	"False"	0	FALSE
"22"	"ID:1059514"	"E.1 DATA STRUCTURES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"E.1 DATA STRUCTURES"	"I.6 SIMULATION AND MODELING"	"False"	0	FALSE
"23"	"ID:1059515"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE
"24"	"ID:1059516"	"F.0 GENERAL"	"E.4 CODING AND INFORMATION THEORY"	"False"	0	FALSE	"F.0 GENERAL"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE
"25"	"ID:1059517"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"True"	1	TRUE	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"G.2 DISCRETE MATHEMATICS"	"False"	0	FALSE
"26"	"ID:1059519"	"H.1 MODELS AND PRINCIPLES"	"H.2 DATABASE MANAGEMENT"	"False"	0	FALSE	"H.1 MODELS AND PRINCIPLES"	"H.2 DATABASE MANAGEMENT"	"False"	0	FALSE
"27"	"ID:1059520"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"E.1 DATA STRUCTURES"	"False"	0	FALSE
"28"	"ID:1066101"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"False"	2	TRUE
"29"	"ID:1066102"	"D.2 SOFTWARE ENGINEERING"	"I.6 SIMULATION AND MODELING"	"False"	0	FALSE	"D.2 SOFTWARE ENGINEERING"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE
"30"	"ID:1066103"	"D.4 OPERATING SYSTEMS"	"H.2 DATABASE MANAGEMENT"	"False"	0	FALSE	"D.4 OPERATING SYSTEMS"	"K.5 LEGAL ASPECTS OF COMPUTING"	"False"	0	FALSE
"31"	"ID:1082037"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE
"32"	"ID:1082038"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.1 NUMERICAL ANALYSIS"	"False"	2	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE
"33"	"ID:1082039"	"D.4 OPERATING SYSTEMS"	"E.1 DATA STRUCTURES"	"False"	0	FALSE	"D.4 OPERATING SYSTEMS"	"H.2 DATABASE MANAGEMENT"	"False"	0	FALSE
"34"	"ID:1082040"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"True"	1	TRUE	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"C.2 COMPUTER-COMMUNICATION NETWORKS"	"True"	1	TRUE
"35"	"ID:1082041"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.1 NUMERICAL ANALYSIS"	"False"	2	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"G.1 NUMERICAL ANALYSIS"	"False"	2	TRUE
"36"	"ID:1082042"	"D.3 PROGRAMMING LANGUAGES"	"D.3 PROGRAMMING LANGUAGES"	"True"	1	TRUE	"D.3 PROGRAMMING LANGUAGES"	"F.4 MATHEMATICAL LOGIC AND FORMAL LANGUAGES"	"False"	0	FALSE
"37"	"ID:1082043"	"D.4 OPERATING SYSTEMS"	"I.5 PATTERN RECOGNITION"	"False"	0	FALSE	"D.4 OPERATING SYSTEMS"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	0	FALSE
"38"	"ID:1089024"	"I.2 ARTIFICIAL INTELLIGENCE"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"False"	5	TRUE	"I.2 ARTIFICIAL INTELLIGENCE"	"G.2 DISCRETE MATHEMATICS"	"False"	4	TRUE
"39"	"ID:1089025"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"I.2 ARTIFICIAL INTELLIGENCE"	"False"	0	FALSE
"40"	"ID:1089026"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"E.4 CODING AND INFORMATION THEORY"	"False"	2	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"I.4 IMAGE PROCESSING AND COMPUTER VISION"	"False"	0	FALSE
"41"	"ID:1089027"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"True"	1	TRUE	"F.2 ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY"	"F.1 COMPUTATION BY ABSTRACT DEVICES"	"False"	4	TRUE
