 RNO,ID,TI,Author Keywords,Keywords Plus
1,2160159,On the (Im)possibility of Obfuscating Programs,Theory; Complexity theory; cryptography; homomorphic encryption; pseudorandom functions; Rice's Theorem; software protection; software watermarking; statistical zero knowledge,ZERO-KNOWLEDGE; RICES THEOREM; CRYPTOGRAPHY; COMPLEXITY; INFORMATION
2,2160163,Continuous Sampling from Distributed Streams,Algorithms; theory; Distributed tracking; random sampling,RESERVOIR
3,2160161,A Theory of Goal-Oriented Communication,Theory; Semantic communication; interoperability,INTERACTIVE PROOF SYSTEMS; MATHEMATICAL-THEORY; SEMANTIC WEB
4,2160160,"The Notion of a Rational Convex Program, and an Algorithm for the Arrow-Debreu Nash Bargaining Game",Algorithms; Economics; Theory,POLYNOMIAL-TIME; FLOW PROBLEMS
5,2160162,Invited Article Foreword,,
6,2108244,Polylogarithmic Concurrent Data Structures from Monotone Circuits,Algorithms; Theory; Distributed computing; shared memory; max registers; counters; monotone circuits,SHARED-MEMORY; IMPLEMENTATIONS; TIME
7,2108243,Probabilistic omega-Automata,Languages; Verification; Theory; Omega-regular languages; Buchi automata; probabilistic automata; Markov decision processes,MARKOV DECISION-PROCESSES; IMPERFECT INFORMATION; COMPLEXITY; GAMES; UNDECIDABILITY; VERIFICATION; TERMINATION; ALGORITHMS; PROGRAMS
8,2108245,New Combinatorial Topology Bounds for Renaming: The Upper Bound,Algorithms; Theory; Distributed computing; shared-memory; upper bound; combinatorial topology,SET AGREEMENT
9,2108247,"Highly Acyclic Groups, Hypergraph Covers, and the Guarded Fragment",Theory; Finite model theory; groups of large girth; guarded fragment; expressive completeness,
10,2108246,"Highly Acyclic Groups, Hypergraph Covers and the Guarded Fragment Invited artivle foreword",,
11,2049700,Compositional Shape Analysis by Means of Bi-Abduction,Languages; Reliability; Theory; Verification; Abstract interpretation; compositionality; static analysis; program; proving; separation logic,PREDICATE ABSTRACTION; SEPARATION LOGIC; COMPLEXITY; RESOURCES; CHECKING
12,2049701,Randomized Shellsort: A Simple Data-Oblivious Sorting Algorithm,Algorithms; Theory; Sorting; Chernoff bounds; data-oblivious algorithms,NETWORKS; BOUNDS; COMPUTATION; COMPLEXITY; DEPTH
13,2049698,Complete Fairness in Secure Two-Party Computation,Security; Theory; Cryptography; secure computation; fairness,CRYPTOGRAPHIC PROTOCOLS; SIGNING CONTRACTS; EXCHANGE; SECRET
14,2049702,New Constructive Aspects of the Lovasz Local Lemma,Algorithms; Theory; Lovasz Local Lemma (LLL); constructive; Monte Carlo algorithms; exponentially many bad events,INDEPENDENT SET PROBLEM; NONREPETITIVE COLORINGS; PARALLEL ALGORITHM; GRAPHS; NUMBERS; BOUNDS
15,2049704,QIP = PSPACE,Theory; Interactive proof systems; quantum computation; semidefinite programming; matrix multiplicative weights update method,INTERACTIVE PROOF SYSTEMS; ARTHUR-MERLIN GAMES; ZERO-KNOWLEDGE; QUANTUM COMPUTER; SPACE; ENTANGLEMENT; COMPLEXITY; ATTACKS; MATRIX; TIME
