sample.rownumbers	Topic	1	2	3	4	5	TM.Keywords
589	0	configuration	strongest	nondeterminism	iterative	markov	configuration ; strongest ; nondeterminism ; iterative ; markov
452	36	systems	system	logic	languages	shared	systems ; system ; logic ; languages ; shared
353	23	networks	network	routing	policies	policy	networks ; network ; routing ; policies ; policy
304	51	d	formulas	tree	trees	formula	d ; formulas ; tree ; trees ; formula
282	23	networks	network	routing	policies	policy	networks ; network ; routing ; policies ; policy
203	31	n	log	r	t	s	n ; log ; r ; t ; s
134	51	d	formulas	tree	trees	formula	d ; formulas ; tree ; trees ; formula
126	0	configuration	strongest	nondeterminism	iterative	markov	configuration ; strongest ; nondeterminism ; iterative ; markov
70	36	systems	system	logic	languages	shared	systems ; system ; logic ; languages ; shared
64	51	p	noise	in	w	conflicts	p ; noise ; in ; w ; conflicts
